mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-0.001,1.001,-1.983,1.772,0.025,0.016,1577.0,2113.0,1.0
-0.018,0.974,-1.831,1.806,0.029,0.017,1143.0,1869.0,1.01
-0.0,0.998,-1.911,1.815,0.025,0.015,1590.0,2165.0,1.0
-0.034,0.985,-1.868,1.825,0.028,0.016,1214.0,2079.0,1.0
0.028,0.97,-1.922,1.721,0.028,0.015,1219.0,2211.0,1.0
-0.019,1.036,-2.068,1.842,0.027,0.017,1514.0,2007.0,1.0
-0.027,1.014,-1.927,1.851,0.028,0.017,1290.0,1601.0,1.0
0.025,1.007,-1.923,1.884,0.027,0.017,1413.0,1867.0,1.0
0.009,1.004,-1.754,1.947,0.029,0.018,1214.0,1766.0,1.0
-0.022,1.01,-1.903,1.848,0.026,0.016,1533.0,2300.0,1.0
-0.015,0.999,-1.839,1.81,0.026,0.017,1513.0,2093.0,1.0
-0.027,0.97,-1.782,1.811,0.026,0.016,1393.0,1976.0,1.0
0.028,1.013,-1.807,1.98,0.028,0.018,1347.0,1735.0,1.0
-0.006,0.98,-1.916,1.782,0.028,0.016,1271.0,2083.0,1.01
-0.019,0.996,-1.828,1.908,0.026,0.016,1475.0,2188.0,1.0
-0.015,0.962,-1.846,1.707,0.024,0.015,1584.0,2187.0,1.0
0.008,1.013,-1.874,1.905,0.029,0.017,1196.0,1956.0,1.0
-0.017,0.982,-1.889,1.834,0.03,0.016,1087.0,1757.0,1.0
0.016,1.008,-1.781,1.948,0.029,0.017,1230.0,1945.0,1.0
-0.002,0.995,-1.928,1.765,0.028,0.017,1313.0,2105.0,1.0
0.047,0.98,-1.824,1.868,0.027,0.015,1320.0,2132.0,1.0
-0.01,1.018,-1.842,1.956,0.027,0.016,1382.0,2081.0,1.0
0.007,1.01,-1.889,1.834,0.025,0.015,1592.0,2230.0,1.0
-0.035,1.02,-1.927,1.858,0.032,0.017,1041.0,1767.0,1.0
-0.056,1.002,-1.792,1.94,0.031,0.017,1058.0,1776.0,1.01
0.013,0.995,-1.917,1.805,0.028,0.016,1296.0,2166.0,1.0
-0.067,0.961,-1.907,1.681,0.027,0.015,1297.0,2149.0,1.0
-0.01,1.009,-1.804,1.995,0.028,0.018,1266.0,1767.0,1.0
-0.079,0.992,-1.94,1.755,0.028,0.017,1263.0,1899.0,1.0
0.028,1.022,-1.918,1.936,0.031,0.019,1065.0,1408.0,1.0
0.014,0.997,-1.85,1.843,0.027,0.015,1418.0,2332.0,1.0
-0.002,1.026,-1.912,1.883,0.026,0.018,1553.0,2179.0,1.0
-0.018,0.972,-1.869,1.729,0.028,0.014,1249.0,2372.0,1.0
0.032,1.015,-1.746,2.04,0.025,0.016,1624.0,2177.0,1.0
-0.021,0.995,-1.959,1.775,0.025,0.017,1529.0,2096.0,1.0
0.003,1.006,-1.756,2.006,0.03,0.018,1139.0,1698.0,1.0
-0.032,1.007,-1.77,1.961,0.026,0.016,1452.0,1823.0,1.0
0.002,0.99,-1.836,1.848,0.028,0.017,1291.0,1651.0,1.0
0.015,1.02,-1.846,1.949,0.03,0.018,1194.0,1801.0,1.0
0.0,0.976,-1.801,1.799,0.026,0.015,1423.0,1710.0,1.0
0.025,0.992,-1.937,1.767,0.026,0.015,1513.0,2184.0,1.0
0.016,1.015,-1.822,1.961,0.029,0.017,1214.0,1774.0,1.0
0.029,0.995,-1.922,1.812,0.033,0.018,936.0,1657.0,1.0
-0.027,0.976,-1.686,1.982,0.027,0.016,1285.0,1858.0,1.0
-0.043,1.017,-1.789,1.995,0.03,0.018,1111.0,1724.0,1.01
0.027,1.0,-1.889,1.851,0.026,0.015,1439.0,1967.0,1.01
-0.037,1.021,-2.005,1.877,0.028,0.016,1376.0,2088.0,1.0
0.016,0.975,-1.798,1.895,0.028,0.016,1218.0,1820.0,1.0
-0.041,1.026,-1.889,1.863,0.027,0.016,1473.0,1707.0,1.0
-0.025,0.993,-1.946,1.784,0.027,0.016,1344.0,2093.0,1.0
0.029,1.01,-1.78,2.05,0.032,0.017,1026.0,1531.0,1.0
-0.01,1.004,-1.985,1.836,0.025,0.016,1573.0,2260.0,1.0
0.033,1.007,-1.902,1.899,0.028,0.018,1249.0,1879.0,1.0
0.003,0.982,-1.824,1.848,0.025,0.015,1521.0,2351.0,1.0
0.004,0.986,-1.802,1.891,0.027,0.017,1317.0,1875.0,1.0
-0.04,1.009,-1.885,1.831,0.029,0.016,1221.0,2245.0,1.01
-0.006,1.011,-1.969,1.787,0.028,0.016,1329.0,1900.0,1.0
0.044,0.997,-1.9,1.78,0.026,0.018,1475.0,1855.0,1.0
-0.045,0.988,-1.836,1.858,0.029,0.015,1168.0,1984.0,1.0
-0.005,0.97,-1.813,1.769,0.024,0.014,1623.0,2177.0,1.0
0.022,0.987,-1.746,1.943,0.032,0.017,974.0,1300.0,1.0
-0.013,1.01,-1.815,2.021,0.027,0.016,1417.0,2143.0,1.0
-0.047,1.012,-1.926,1.842,0.027,0.016,1458.0,2224.0,1.0
0.037,1.011,-1.822,1.971,0.026,0.016,1542.0,2194.0,1.0
0.051,1.004,-1.8,1.934,0.027,0.017,1391.0,1823.0,1.0
-0.03,1.044,-2.072,1.81,0.031,0.018,1148.0,1687.0,1.0
-0.033,1.015,-1.952,1.844,0.029,0.016,1251.0,1885.0,1.0
-0.031,0.99,-2.007,1.687,0.027,0.015,1373.0,2006.0,1.01
-0.041,1.004,-1.966,1.819,0.03,0.017,1120.0,2008.0,1.0
-0.005,1.041,-1.925,1.999,0.033,0.018,1017.0,1575.0,1.0
0.055,1.002,-1.824,1.923,0.028,0.016,1313.0,1670.0,1.0
-0.018,0.978,-1.701,1.972,0.026,0.014,1375.0,2103.0,1.0
-0.01,1.009,-1.927,1.88,0.028,0.016,1264.0,1823.0,1.0
-0.004,0.985,-1.836,1.893,0.025,0.017,1619.0,2131.0,1.0
-0.006,1.042,-2.041,1.907,0.029,0.018,1331.0,1387.0,1.0
0.0,0.974,-1.764,1.83,0.028,0.016,1226.0,1804.0,1.0
-0.021,1.0,-1.997,1.759,0.025,0.016,1617.0,2085.0,1.0
-0.027,1.015,-2.008,1.805,0.032,0.017,978.0,1613.0,1.0
0.032,1.0,-1.869,1.878,0.027,0.017,1386.0,1865.0,1.0
-0.012,1.015,-1.901,1.924,0.026,0.016,1473.0,2160.0,1.0
-0.0,1.003,-1.81,1.936,0.03,0.016,1082.0,1780.0,1.0
-0.004,1.002,-1.802,1.906,0.028,0.017,1263.0,1708.0,1.0
-0.0,1.002,-1.932,1.855,0.029,0.017,1178.0,1795.0,1.0
-0.008,0.981,-1.879,1.791,0.029,0.016,1174.0,1826.0,1.0
-0.016,1.001,-1.939,1.788,0.028,0.016,1285.0,2032.0,1.0
0.017,0.986,-1.899,1.81,0.025,0.015,1535.0,2123.0,1.0
-0.023,1.013,-1.94,1.922,0.03,0.02,1178.0,1281.0,1.0
0.017,0.994,-1.85,1.901,0.026,0.017,1443.0,2093.0,1.0
-0.005,1.011,-1.92,1.879,0.028,0.017,1321.0,1984.0,1.0
-0.001,0.996,-1.9,1.816,0.023,0.016,1834.0,2355.0,1.0
-0.017,0.977,-1.816,1.853,0.027,0.016,1286.0,1987.0,1.0
0.023,0.993,-1.725,2.029,0.028,0.017,1267.0,2073.0,1.0
-0.003,1.011,-1.928,1.883,0.026,0.015,1498.0,2058.0,1.0
0.009,1.007,-1.886,1.9,0.027,0.016,1414.0,2029.0,1.0
0.029,1.011,-1.923,1.899,0.031,0.019,1047.0,1577.0,1.0
0.003,0.99,-1.77,1.955,0.027,0.017,1391.0,1711.0,1.0
-0.006,1.017,-2.022,1.785,0.027,0.017,1441.0,2087.0,1.0
-0.034,0.991,-1.956,1.771,0.03,0.016,1074.0,1964.0,1.0
-0.007,0.95,-1.801,1.774,0.028,0.015,1157.0,1909.0,1.0
0.001,1.002,-1.921,1.849,0.03,0.016,1138.0,2125.0,1.0
-0.012,1.008,-1.815,1.966,0.027,0.015,1413.0,2187.0,1.0
