timeseries,start_date,use_temp_df,hierarchical,uniform_constant,tune_method,tune_loss_factor,shrinkage_strength,intercept_sd,beta_sd,scaler,mse,rmse,mae,mape
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.5,0.5,minmax,0.07698529021286882,0.27746223204765874,0.25886400833684614,7.854573245515363
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.5,0.5,minmax,0.0533172186234954,0.23090521566975356,0.21586986424003884,2.6556734896744834
Wine cellar [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.5,0.5,minmax,0.0008038045773143351,0.028351447534726248,0.017636253952621472,0.3129910394940924
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,1,0.5,1.0,maxabs,10.901894959543212,3.301801774719859,2.577281968496631,0.41779958989571436
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.5,1.0,maxabs,0.002093295652342431,0.04575254804207555,0.04172821937075657,0.6523593898956133
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.5,1.0,maxabs,0.1411059242398585,0.37564068501675707,0.3464241067298217,10.586395854492167
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.5,1.0,maxabs,0.11401815714149535,0.3376657476580877,0.31186036756125773,3.840223072380512
Wine cellar [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.5,1.0,maxabs,0.0005766742706664502,0.0240140431969806,0.017674787208717988,0.44932131960926375
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,1,0.5,1.0,minmax,10.88017412450815,3.2985108950112854,2.574577576146332,0.41627144572405705
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.5,1.0,minmax,0.0002129877491583535,0.014594099806372215,0.012352945833586914,0.2040043824196651
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.5,1.0,minmax,0.07697363353825452,0.27744122537621285,0.2588280730730058,7.854226748558027
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.5,1.0,minmax,0.05330310583544381,0.23087465394764278,0.21582461518860874,2.655284845928217
Wine cellar [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.5,1.0,minmax,0.0008037791408564373,0.028350998939304366,0.017637078434051455,0.31301668230490626
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,1,0.5,1.5,maxabs,10.901517729109894,3.301744649289205,2.577324773226863,0.4177295853802888
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.5,1.5,maxabs,0.0020934174285373868,0.04575387883597834,0.04172293093268735,0.6522704111221918
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.5,1.5,maxabs,0.14110803421633486,0.3756434935099167,0.3463906687467397,10.587175173196448
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.5,1.5,maxabs,0.11399932727812265,0.3376378641060902,0.3117713390850799,3.8398416120320333
Wine cellar [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.5,1.5,maxabs,0.0005764095505810235,0.024008530787639287,0.01767680645749897,0.4496576576967191
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,1,0.5,1.5,minmax,10.879785227981861,3.2984519441674243,2.5744413006213036,0.4163987925134754
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.5,1.5,minmax,0.00021300593000949365,0.014594722676690148,0.012353192802043505,0.2040050322538638
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.5,1.5,minmax,0.07698234365742897,0.2774569221652777,0.25884631990789053,7.854684632026648
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.5,1.5,minmax,0.053307645662060664,0.23088448553781318,0.21583907969861493,2.655417733876284
Wine cellar [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,0.5,1.5,minmax,0.0008037586257647821,0.028350637131549304,0.017637012612948016,0.31302464396006185
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,1,1.0,0.5,maxabs,10.905206166786341,3.3023031609448488,2.5775903131408,0.41815759254192847
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,1.0,0.5,maxabs,0.002096705503202353,0.045789796933403765,0.04175934262376608,0.6528201637217925
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,1.0,0.5,maxabs,0.14129774903104206,0.3758959284576544,0.3466797967112554,10.593100122457793
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,1.0,0.5,maxabs,0.11416612162367125,0.33788477566127667,0.3120798997578575,3.8426596704802947
Wine cellar [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,1.0,0.5,maxabs,0.0005770135449908279,0.02402110623994715,0.017684604013935727,0.449732863151588
Boston,2013-01-01,with_temp_df,partial,False,parametric,0,1,1.0,0.5,minmax,10.8794150751145,3.2983958336007064,2.5743755808994506,0.41661280274715895
Fridge [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,1.0,0.5,minmax,0.0002129443039373477,0.01459261127890919,0.01235340772812181,0.20402099894949144
Furnace 1 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,1.0,0.5,minmax,0.07704428313831241,0.277568519717767,0.25898431885044637,7.857505384677903
Furnace 2 [kW],2013-01-01,with_temp_df,partial,False,parametric,0,1,1.0,0.5,minmax,0.05336172383321309,0.23100156673324337,0.215988258943419,2.656857740809107
