series,Temp Regression (linear+dow+month),Temp Only Regression,Rolling Mean (30d),"HW (add_damped, add, 7d)","ARIMA(2,1,1)",Rolling Mean (7d),"ARIMA(1,1,1)",Seasonal Naive (7d),"SARIMA(1,1,1)(1,0,1,7)",Rolling Mean (14d),"HW (add, mul, 7d)",Seasonal Naive (30d),"HW (add, add, 7d)",Global Mean,Seasonal Naive Mean (7d),"HW (add, add, 30d)",Auto-ARIMA (best AIC)
Fridge [kW],0.01603345279398148,0.018024358514355604,0.02081155825649399,0.020811731691491506,0.020546034233886352,0.019256801912210127,0.020542070388389674,0.019489197380951437,0.020800163172406193,0.020422797394019084,0.02512932438105167,0.022002027623014137,0.02353205360344024,0.020357848358796827,0.02036502300959281,0.024992279592746226,0.020541576658418024
Furnace 1 [kW],0.057297442360078395,0.06875947385237055,0.08166207157675102,0.09830349512872846,0.10238431157919393,0.1107080107919396,0.10366115217093425,0.11490540631909409,0.10774247256969131,0.1181139782498794,0.09093417786210015,0.10230847863937002,0.08076641482099255,0.1338671450381186,0.13463939990219223,0.12545327464319128,0.13095659387710656
Furnace 2 [kW],0.07340227751955497,0.07492607258910192,0.08472646111389608,0.06772666021307612,0.06895205721964327,0.07927600400314781,0.08661079575957707,0.08190409973536926,0.09123994623805479,0.08802689492928983,0.0902737325960738,0.10632748453971622,0.10666355047997612,0.11836262663091227,0.11893251804290023,0.1390093501377688,0.11590870564677974
Wine cellar [kW],0.037426188152377526,0.0341544178965068,0.03581915375566439,0.03869623925023387,0.03399506065293889,0.03213047418978981,0.034041638222759324,0.03386086610646583,0.033738637848008735,0.03480107892629268,0.056955102219249,0.03750817160072192,0.0593709456842498,0.03977172098985537,0.03974830449015171,0.06514757464823624,22.078193200559678
