rmse,mae,mape,model,series,elapsed
0.019489197380951437,0.014663871357000917,0.19977780201422038,Seasonal Naive (7d),Fridge [kW],0.0
0.022002027623014137,0.016633874117732754,0.22565037962130607,Seasonal Naive (30d),Fridge [kW],0.0
0.02036502300959281,0.015453755470599418,0.20705631781790484,Seasonal Naive Mean (7d),Fridge [kW],0.0
0.019256801912210127,0.014359043392412623,0.192897835124989,Rolling Mean (7d),Fridge [kW],0.0
0.020422797394019084,0.015413112823632861,0.2051032153442063,Rolling Mean (14d),Fridge [kW],0.0
0.02081155825649399,0.015779327696719934,0.20959017609771008,Rolling Mean (30d),Fridge [kW],0.0
0.020357848358796827,0.015352952962137139,0.20437894835084758,Global Mean,Fridge [kW],0.0
0.020542070388389674,0.015519006940149916,0.20634686858973622,"ARIMA(1,1,1)",Fridge [kW],0.0699765682220459
0.020546034233886352,0.01552701132913641,0.2064773552866809,"ARIMA(2,1,1)",Fridge [kW],0.14032983779907227
0.020800163172406193,0.015779098214741254,0.2097235384531131,"SARIMA(1,1,1)(1,0,1,7)",Fridge [kW],0.24275541305541992
0.020541576658418024,0.015517326754540635,0.2063173819456055,Auto-ARIMA (best AIC),Fridge [kW],0.8746402263641357
0.02353205360344024,0.018493653400343514,0.24681214955967876,"HW (add, add, 7d)",Fridge [kW],0.18517255783081055
0.02512932438105167,0.02012220831388401,0.269766036218834,"HW (add, mul, 7d)",Fridge [kW],0.13243508338928223
0.020811731691491506,0.0158354082230105,0.21132446195720203,"HW (add_damped, add, 7d)",Fridge [kW],0.1776440143585205
0.024992279592746226,0.01975229016397278,0.2670498692156283,"HW (add, add, 30d)",Fridge [kW],0.24296784400939941
0.01603345279398148,0.011891000413979159,0.16329731971360384,Temp Regression (linear+dow+month),Fridge [kW],0.036409616470336914
0.018024358514355604,0.013302399927936597,0.17821088709491706,Temp Only Regression,Fridge [kW],0.010955810546875
0.11490540631909409,0.10386169938814369,3.2300550742744862,Seasonal Naive (7d),Furnace 1 [kW],0.0
0.10230847863937002,0.08579015273565171,2.455407419279904,Seasonal Naive (30d),Furnace 1 [kW],0.0
0.13463939990219223,0.12523992780073886,3.872583236699075,Seasonal Naive Mean (7d),Furnace 1 [kW],0.0
0.1107080107919396,0.10222487979063759,3.205460808364675,Rolling Mean (7d),Furnace 1 [kW],0.0
0.1181139782498794,0.1095430211080361,3.4243163320969496,Rolling Mean (14d),Furnace 1 [kW],0.0
0.08166207157675102,0.0743433391271964,2.280894489251335,Rolling Mean (30d),Furnace 1 [kW],0.0
0.1338671450381186,0.12516515715403906,3.878081185747864,Global Mean,Furnace 1 [kW],0.0
0.10366115217093425,0.09527993528782835,2.9908461827013273,"ARIMA(1,1,1)",Furnace 1 [kW],0.08650803565979004
0.10238431157919393,0.09404289036077083,2.952003458607718,"ARIMA(2,1,1)",Furnace 1 [kW],0.1383509635925293
0.10774247256969131,0.09927358805063247,3.1126910154612557,"SARIMA(1,1,1)(1,0,1,7)",Furnace 1 [kW],0.5489113330841064
0.13095659387710656,0.12220605870588384,3.794102521520361,Auto-ARIMA (best AIC),Furnace 1 [kW],1.0441296100616455
0.08076641482099255,0.0665106185424808,1.5848589936805477,"HW (add, add, 7d)",Furnace 1 [kW],0.1545708179473877
